"accept","接受"
"upload_profile_picutre","上传用户头像"
"good","好评"
"normal","中评"
"bad","差评"
"base_on_vote","({{count}}人评价)"
"pay","付款"
"stripe_connected_warning_text","请到<a href='/dashboard/payment'>支付设置</a>页面设置‘收款方式’，以实现在线收费功能。"
"stripe_collect_warning_text","请到<a href='/dashboard/payment'>支付设置</a>页面设置‘付款方式’，以实现在线支付、货到付款功能。"
"payment","支付设置"
"payment_method","付款方式"
"description_payment_method","请设置支付方式，以实现在线支付、货到付款功能。card将用<a href='http://www.stripe.com' target='_blank'>Stipe</a>第三方支付系统收集你的信用卡，只有货物到达才进行扣款。card并不记录你的信用卡信息。"
"collect_fees","收款方式"
"description_collect_fees","请设置收款方式，以实现收费功能。 card将用<a href='http://www.stripe.com' target='_blank'>Stipe</a>第三方支付系统记录你的银行账户信息以便将你赚的钱转入你的账户。card并不记录任何银行信息。"
"connected","已连接"
"transaction_complete","交易完成!"
"share_to","分享到"
"my_profile","个人资料"
"website","网址"
"wechat","微信"
"website:","网址：<a href='{{website}}'>{{website}}</a>"
"wechat:","微信：{{wechat}}"
"connected_network","社交网络"
"view_profile","查看资料"
"add_avatar","请添加用户头像"
"create_mine","创建我的微名片"
"title","公司职位"
"next_step","下一步"
"send_to_friend","发送给朋友"
"favorite","收藏该名片"
"wechat_share_content","\n{{name}}的微名片\n长按本消息即可收藏"
"contact_option","联系方式（可不填）"
"loading","加载中..."
"current_location","当前位置"
"views","被查看：{{num}}次"
"tips","小贴士：1.用微信收藏名片后，点击‘我’->'收藏'，输入‘名片’即可查找已收藏的名片。2.创建名片后，将你名片上的短连接（类似 to.ly/*** 注意大小写）添加到你的微信名字后面，群组聊天时方便他人查看你的名片。"
"placeholder_password","微名片密码"
"hide_contact","隐藏联系方式"
"only_show_to_friend","仅单独发送名片给好友时可看"
