"accept","接受"
"email_feedback_body","通過用戶評價成為card資深用戶。提升你的信任，並提高用戶忠誠度。請對{{user}} 進行用戶評價。"
"email_feedback_link","用戶評價"
"good_feedback","好評"
"normal_feedback","中評"
"bad_feedback","差評"
"upload_profile_picutre","上傳用戶頭像"
"good","好評"
"normal","中評"
"bad","差評"
"base_on_vote","({{count}}人評價)"
"pay","付款"
"stripe_connected_warning_text","請到<a href='/dashboard/payment'>支付設置</a>頁面設置'收款方式'，以實現在線收費功能。"
"stripe_collect_warning_text","請到<a href='/dashboard/payment'>支付設置</a>頁面設置'付款方式'，以實現在線支付、貨到付款功能。"
"payment","支付設置"
"payment_method","付款方式"
"description_payment_method","請設置支付方式，以實現在線支付、貨到付款功能。card將用<a href='http://www.stripe.com' target='_blank'>Stipe</a>第三方支付系統收集你的信用卡，只有貨物到達才進行扣款。card並不記錄你的信用卡信息。"
"collect_fees","收款方式"
"description_collect_fees","請設置收款方式，以實現收費功能。 card將用<a href='http://www.stripe.com' target='_blank'>Stipe</a>第三方支付系統記錄你的銀行賬戶信息以便將你賺的錢轉入你的賬戶。card並不記錄任何銀行信息。"
"connected","已連接"
"transaction_complete","交易完成!"
"share_to","分享到"
"my_profile","個人資料"
"website","網址"
"wechat","微信"
"website:","網址：<a href='{{website}}'>{{website}}</a>"
"wechat:","微信：{{wechat}}"
"connected_network","社交網絡"
"view_profile","查看資料"
"add_avatar","請添加用戶頭像"
"create_mine","創建我的微名片"
"title","公司職位"
"next_step","下一步"
"send_to_friend","發送給朋友"
"favorite","收藏該名片"
"wechat_share_content","\n{{name}}的微名片\n長按本消息即可收藏"
"contact_option","聯繫方式（可不填）"
"loading","加載中..."
"current_location","當前位置"
"views","被查看：{{num}}次"
"tips","小貼士：1.用微信收藏名片後，點擊'我'->'收藏'，輸入'名片'即可查找已收藏的名片。2.創建名片後，將你名片上的短連接（類似to.ly/*** 注意大小寫）添加到你的微信名字後面，群組聊天時方便他人查看你的名片。"
"placeholder_password","微名片密碼"
